insert into class_members (class_id, user_id, status) values
  (1,2,1),
  (2,2,1),
  (3,4,0),
  (4,3,1),
  (5,9,1),
  (6,1,1),
  (7,3,1),
  (8,1,1),
  (9,3,1),
  (10,9,1),
  (11,6,1),
  (12,7,1),
  (13,1,1),
  (14,8,1),
  (15,9,1),
  (16,1,0),
  (17,1,0),
  (18,1,0),
  (19,3,1),
  (20,5,1),
  (21,10,0),
  (22,8,0),
  (23,8,1),
  (24,2,0),
  (25,2,0),
  (26,3,1),
  (27,2,0),
  (28,4,0),
  (29,9,0),
  (30,4,0),
  (31,6,1),
  (32,1,0),
  (33,3,0),
  (34,10,1),
  (35,6,1),
  (36,4,1),
  (37,7,0),
  (38,2,1),
  (39,6,1),
  (40,9,0),
  (41,9,0),
  (42,7,0),
  (43,7,0),
  (44,1,0),
  (45,4,0),
  (46,5,0),
  (47,7,1),
  (48,8,0),
  (49,4,0),
  (50,9,0),
  (51,10,1),
  (52,4,0),
  (53,7,1),
  (54,2,1),
  (55,4,1),
  (56,6,1),
  (57,2,1),
  (58,2,0),
  (59,9,1),
  (60,2,0),
  (61,9,0),
  (62,9,0),
  (63,2,1),
  (64,6,0),
  (65,10,1),
  (66,4,0),
  (67,7,0),
  (68,8,1),
  (69,2,0),
  (70,7,0),
  (71,3,0),
  (72,3,1),
  (73,2,1),
  (74,2,0),
  (75,7,1),
  (76,2,0),
  (77,2,0),
  (78,4,0),
  (79,6,1),
  (80,4,1),
  (81,3,1),
  (82,1,1),
  (83,7,1),
  (84,3,1),
  (85,10,1),
  (86,9,0),
  (87,6,1),
  (88,8,0),
  (89,7,1),
  (90,1,0),
  (91,4,0),
  (92,10,0),
  (93,7,1),
  (94,7,0),
  (95,9,0),
  (96,6,0),
  (97,8,0),
  (98,9,1),
  (99,9,0),
  (100,5,0),
  (101,5,0),
  (1,1,1),
  (2,6,1),
  (3,6,1),
  (4,9,0),
  (5,8,1),
  (6,4,0),
  (7,3,1),
  (8,7,0),
  (9,6,1),
  (10,3,0),
  (11,1,1),
  (12,1,0),
  (13,3,0),
  (14,9,1),
  (15,9,0),
  (16,7,1),
  (17,1,0),
  (18,2,1),
  (19,1,0),
  (20,3,0),
  (21,8,0),
  (22,2,0),
  (23,10,0),
  (24,1,1),
  (25,10,1),
  (26,1,0),
  (27,7,0),
  (28,5,1),
  (29,6,0),
  (30,10,0),
  (31,7,0),
  (32,4,1),
  (33,3,0),
  (34,4,1),
  (35,8,1),
  (36,2,0),
  (37,5,0),
  (38,4,1),
  (39,9,1),
  (40,5,0),
  (41,9,0),
  (42,9,0),
  (43,10,1),
  (44,3,1),
  (45,2,0),
  (46,6,1),
  (47,5,0),
  (48,7,0),
  (49,8,0),
  (50,7,0),
  (51,7,0),
  (52,2,0),
  (53,2,0),
  (54,2,0),
  (55,8,1),
  (56,7,0),
  (57,6,0),
  (58,4,1),
  (59,6,1),
  (60,10,1),
  (61,2,0),
  (62,1,1),
  (63,3,0),
  (64,5,0),
  (65,2,1),
  (66,9,1),
  (67,6,1),
  (68,9,0),
  (69,5,0),
  (70,9,1),
  (71,10,1),
  (72,10,0),
  (73,5,0),
  (74,8,1),
  (75,2,0),
  (76,9,0),
  (77,6,1),
  (78,3,1),
  (79,7,0),
  (80,6,0),
  (81,1,0),
  (82,9,0),
  (83,6,1),
  (84,10,1),
  (85,8,0),
  (86,10,1),
  (87,3,1),
  (88,1,1),
  (89,8,1),
  (90,9,0),
  (91,8,1),
  (92,6,0),
  (93,5,1),
  (94,10,0),
  (95,6,1),
  (96,5,1),
  (97,6,0),
  (98,6,0),
  (99,5,0),
  (100,10,1),
  (101,7,1),
  (1,9,0),
  (2,2,1),
  (3,3,0),
  (4,5,1),
  (5,9,1),
  (6,8,0),
  (7,1,1),
  (8,8,1),
  (9,8,0),
  (10,8,1),
  (11,6,1),
  (12,8,1),
  (13,1,1),
  (14,10,1),
  (15,6,0),
  (16,2,1),
  (17,9,1),
  (18,4,1),
  (19,10,0),
  (20,7,0),
  (21,7,1),
  (22,10,0),
  (23,1,0),
  (24,10,0),
  (25,9,0),
  (26,5,0),
  (27,10,1),
  (28,6,0),
  (29,10,1),
  (30,6,1),
  (31,9,0),
  (32,7,0),
  (33,10,0),
  (34,10,1),
  (35,10,0),
  (36,10,1),
  (37,3,1),
  (38,5,1),
  (39,9,1),
  (40,2,0),
  (41,4,0),
  (42,4,1),
  (43,2,1),
  (44,8,1),
  (45,4,0),
  (46,3,0),
  (47,7,1),
  (48,5,1),
  (49,2,1),
  (50,9,1),
  (51,8,0),
  (52,8,1),
  (53,2,0),
  (54,9,1),
  (55,2,1),
  (56,5,1),
  (57,5,0),
  (58,2,0),
  (59,1,0),
  (60,8,0),
  (61,10,1),
  (62,9,0),
  (63,4,1),
  (64,6,0),
  (65,1,1),
  (66,9,1),
  (67,3,0),
  (68,5,1),
  (69,7,0),
  (70,1,1),
  (71,10,1),
  (72,1,0),
  (73,2,0),
  (74,4,1),
  (75,1,0),
  (76,10,1),
  (77,2,1),
  (78,4,1),
  (79,6,0),
  (80,7,0),
  (81,6,0),
  (82,1,1),
  (83,2,1),
  (84,9,0),
  (85,10,0),
  (86,2,1),
  (87,2,0),
  (88,4,0),
  (89,1,0),
  (90,3,0),
  (91,9,0),
  (92,10,0),
  (93,3,1),
  (94,5,1),
  (95,10,1),
  (96,7,1),
  (97,8,0),
  (98,2,1),
  (99,1,1),
  (100,9,0),
  (101,9,1),
  (1,9,1),
  (2,10,0),
  (3,7,1),
  (4,1,0),
  (5,3,1),
  (6,1,1),
  (7,7,0),
  (8,4,0),
  (9,2,0),
  (10,4,0),
  (11,7,0),
  (12,7,1),
  (13,8,1),
  (14,9,0),
  (15,9,0),
  (16,1,1),
  (17,5,0),
  (18,3,1),
  (19,4,1),
  (20,5,0),
  (21,9,1),
  (22,10,0),
  (23,5,0),
  (24,4,1),
  (25,3,0),
  (26,7,0),
  (27,6,1),
  (28,1,1),
  (29,6,1),
  (30,4,1),
  (31,4,1),
  (32,2,0),
  (33,2,1),
  (34,10,0),
  (35,5,0),
  (36,6,1),
  (37,8,0),
  (38,3,1),
  (39,3,1),
  (40,8,1),
  (41,6,0),
  (42,1,1),
  (43,7,0),
  (44,5,0),
  (45,9,0),
  (46,8,0),
  (47,8,1),
  (48,1,1),
  (49,6,0),
  (50,5,0),
  (51,6,0),
  (52,4,1),
  (53,9,0),
  (54,8,1),
  (55,4,0),
  (56,7,0),
  (57,4,0),
  (58,9,0),
  (59,6,1),
  (60,9,1),
  (61,10,1),
  (62,4,1),
  (63,1,0),
  (64,8,0),
  (65,1,0),
  (66,9,1),
  (67,4,1),
  (68,2,1),
  (69,6,0),
  (70,6,0),
  (71,7,1),
