insert into class_schedule (id, class_id, schedule_id) values
  (1,1,36),
  (2,2,72),
  (3,3,57),
  (4,4,11),
  (5,5,47),
  (6,6,36),
  (7,7,12),
  (8,8,26),
  (9,9,84),
  (10,10,37),
  (11,11,67),
  (12,12,43),
  (13,13,17),
  (14,14,50),
  (15,15,21),
  (16,16,72),
  (17,17,1),
  (18,18,90),
  (19,19,51),
  (20,20,85),
  (21,21,19),
  (22,22,76),
  (23,23,83),
  (24,24,22),
  (25,25,48),
  (26,26,60),
  (27,27,97),
  (28,28,5),
  (29,29,7),
  (30,30,7),
  (31,31,67),
  (32,32,83),
  (33,33,11),
  (34,34,45),
  (35,35,80),
  (36,36,62),
  (37,37,86),
  (38,38,35),
  (39,39,72),
  (40,40,67),
  (41,41,56),
  (42,42,3),
  (43,43,52),
  (44,44,79),
  (45,45,39),
  (46,46,71),
  (47,47,43),
  (48,48,2),
  (49,49,29),
  (50,50,78),
  (51,51,56),
  (52,52,77),
  (53,53,27),
  (54,54,35),
  (55,55,17),
  (56,56,89),
  (57,57,58),
  (58,58,11),
  (59,59,84),
  (60,60,84),
  (61,61,40),
  (62,62,66),
  (63,63,1),
  (64,64,97),
  (65,65,69),
  (66,66,39),
  (67,67,6),
  (68,68,53),
  (69,69,15),
  (70,70,19),
  (71,71,93),
  (72,72,6),
  (73,73,90),
  (74,74,80),
  (75,75,96),
  (76,76,39),
  (77,77,43),
  (78,78,50),
  (79,79,81),
  (80,80,5),
  (81,81,6),
  (82,82,23),
  (83,83,43),
  (84,84,6),
  (85,85,73),
  (86,86,66),
  (87,87,82),
  (88,88,32),
  (89,89,21),
  (90,90,23),
  (91,91,14),
  (92,92,62),
  (93,93,68),
  (94,94,57),
  (95,95,75),
  (96,96,56),
  (97,97,7),
  (98,98,36),
  (99,99,51),
  (100,100,49),
  (101,101,41),
  (102,1,98),
  (103,2,27),
  (104,3,28),
  (105,4,38),
  (106,5,35),
  (107,6,52),
  (108,7,60),
  (109,8,42),
  (110,9,82),
  (111,10,32),
  (112,11,35),
  (113,12,38),
  (114,13,6),
  (115,14,95),
  (116,15,40),
  (117,16,85),
  (118,17,39),
  (119,18,55),
  (120,19,92),
  (121,20,59),
  (122,21,70),
  (123,22,40),
  (124,23,52),
  (125,24,5),
  (126,25,98),
  (127,26,55),
  (128,27,84),
  (129,28,23),
  (130,29,15),
  (131,30,78),
  (132,31,38),
  (133,32,78),
  (134,33,56),
  (135,34,84),
  (136,35,2),
  (137,36,5),
  (138,37,62),
  (139,38,46),
  (140,39,30),
  (141,40,19),
  (142,41,26),
  (143,42,31),
  (144,43,9),
  (145,44,92),
  (146,45,33),
  (147,46,11),
  (148,47,44),
  (149,48,95),
  (150,49,28),
  (151,50,29),
  (152,51,37),
  (153,52,77),
  (154,53,18),
  (155,54,46),
  (156,55,46),
  (157,56,71),
  (158,57,39),
  (159,58,69),
  (160,59,79),
  (161,60,36),
  (162,61,67),
  (163,62,85),
  (164,63,1),
  (165,64,60),
  (166,65,88),
  (167,66,23),
  (168,67,47),
  (169,68,55),
  (170,69,61),
  (171,70,65),
  (172,71,11),
  (173,72,77),
  (174,73,45),
  (175,74,11),
  (176,75,34),
  (177,76,71),
  (178,77,60),
  (179,78,88),
  (180,79,12),
  (181,80,96),
  (182,81,24),
  (183,82,9),
  (184,83,27),
  (185,84,79),
  (186,85,79),
  (187,86,25),
  (188,87,63),
  (189,88,10),
  (190,89,3),
  (191,90,80),
  (192,91,90),
  (193,92,96),
  (194,93,67),
  (195,94,21),
  (196,95,92),
  (197,96,74),
  (198,97,53),
  (199,98,62),
  (200,99,66),
  (201,100,75),
  (202,101,81);
